单词,音标,释义,例句
team,/tiːm/,(游戏或运动的)队；(一起工作的)组，班,
player,/ˈpleɪə(r)/,运动员；参赛选手,
him,/hɪm/,他,
lovely,/ˈlʌvli/,美丽的；优美的,
clever,/ˈklevə(r)/,聪明的；聪颖的,
young,/jʌŋ/,幼小的；年轻的,
hard-working,/hɑːdˈwɜːkɪŋ/,工作努力的；辛勤的,
science,/ˈsaɪəns/,科学；自然科学,
robot,/ˈrəʊbɒt/,机器人,
jump,/dʒʌmp/,跳；跃,
rope,/rəʊp/,绳；粗绳,
piano,/piˈænəʊ/,钢琴,
chess,/tʃes/,国际象棋,
front,/frʌnt/,前部,
easy,/ˈiːzi/,容易的；轻易的,
star,/stɑː/,歌唱（或表演）明星,
wonderful,/ˈwʌndəfl/,精彩的；绝妙的,
Australia,/ɒˈstreɪliə/,澳大利亚,
